"TIME","GEO","CROP_PRO","STRUCPRO","Value","Flag and Footnotes"
"2005","Länsi-Suomi","ha: Rape and turnip","Total","29 700",""
"2005","Länsi-Suomi","ha: Sunflower","Total","30",""
"2005","Länsi-Suomi","ha: Soya","Total","0",""
"2005","Länsi-Suomi","ha:  Other oil-seed or fibre crops","Total","840",""
"2005","Länsi-Suomi","ha: Outdoor: Flowers and ornemental plants","Total","0",""
"2005","Länsi-Suomi","ha: Under glass: Flowers and ornemental plants","Total","50",""
"2005","Länsi-Suomi","ha: Fodder crops - total","Total","184 110",""
"2005","Länsi-Suomi","ha: Fodder crops - temporary grass","Total","182 890",""
"2005","Länsi-Suomi","ha: Total: Other green fodder: Fodder crops","Total","1 230",""
"2005","Länsi-Suomi","ha: Green maize: Other green fodder: Fodder crops","Total","0",""
"2005","Länsi-Suomi","ha: Other fodder crops: leguminous plants: Fodder crops","Total",":",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Utilised agricultural area","Total","316 710",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Arable land","Total","310 430",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Common wheat and spelt","Total","5 580",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Durum wheat","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Rye","Total","800",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Barley","Total","75 520",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Oats","Total","37 900",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Grain maize","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Rice","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Other cereals","Total","30",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Pulses - total","Total","180",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Potatoes","Total","5 790",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Sugar beet","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Fodder roots and brassicas","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Industrial crops - total","Total","3 610",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Tobacco","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Hops","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Cotton","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Rape and turnip","Total","1 360",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Sunflower","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Soya","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha:  Other oil-seed or fibre crops","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Outdoor: Flowers and ornemental plants","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Under glass: Flowers and ornemental plants","Total","10",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Fodder crops - total","Total","153 900",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Fodder crops - temporary grass","Total","152 660",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Total: Other green fodder: Fodder crops","Total","1 240",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Green maize: Other green fodder: Fodder crops","Total","0",""
"2005","Pohjois-Suomi (NUTS 2006)","ha: Other fodder crops: leguminous plants: Fodder crops","Total",":",""
